celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,results,final_status,eliminated_week,raw_score,week_num,judge_id,score_z,partner_alpha,week_avg_score,week_total_score,judge_count,partner_hist_avg_placement,score_delta,cum_score_avg,n_competitors,relative_technical_rank,ind_Fashion,ind_Music,ind_Other,ind_Screen,ind_Sports,age_GenZ,age_Millennial,age_GenX,age_Senior,est_fan_vote_pct,est_fan_vote_rank,inference_entropy,est_certainty_score,solver_converged
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,2Nd Place,Runnerup,0.0,7.0,1,1,0.0,8.055555555555555,6.666666666666667,20.0,3,2.0,0.0,6.666666666666667,6,0.7777777777777778,0,0,0,1,0,0,0,1,0,0.09993695450641331,2.0,4.0012261948937455,0.040456076905511784,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,2Nd Place,Runnerup,0.0,7.0,1,1,0.0,8.055555555555555,6.666666666666667,20.0,3,2.0,0.0,6.666666666666667,6,0.7777777777777778,0,0,0,1,0,0,0,1,0,0.09993695450641331,2.0,4.0012261948937455,0.040456076905511784,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,2Nd Place,Runnerup,0.0,7.0,1,1,0.0,8.055555555555555,6.666666666666667,20.0,3,2.0,0.0,6.666666666666667,6,0.7777777777777778,0,0,0,1,0,0,0,1,0,0.09993695450641331,2.0,4.0012261948937455,0.040456076905511784,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,1St Place,Winner,0.0,5.0,1,1,-0.8421052631578947,7.289470175438597,4.333333333333333,13.0,3,6.842105263157895,0.0,4.333333333333333,6,0.1111111111111111,0,0,0,1,0,0,1,0,0,0.01813974487173089,17.0,4.0012261948937455,0.040456076905511784,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,1St Place,Winner,0.0,5.0,1,1,-0.8421052631578947,7.289470175438597,4.333333333333333,13.0,3,6.842105263157895,0.0,4.333333333333333,6,0.1111111111111111,0,0,0,1,0,0,1,0,0,0.01813974487173089,17.0,4.0012261948937455,0.040456076905511784,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,1St Place,Winner,0.0,5.0,1,1,-0.8421052631578947,7.289470175438597,4.333333333333333,13.0,3,6.842105263157895,0.0,4.333333333333333,6,0.1111111111111111,0,0,0,1,0,0,1,0,0,0.01813974487173089,17.0,4.0012261948937455,0.040456076905511784,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,Eliminated Week 3,Eliminated,3.0,5.0,1,1,-0.8421052631578947,7.255746551724138,6.0,18.0,3,5.379310344827586,0.0,6.0,6,0.3611111111111111,0,0,0,0,1,0,0,1,0,0.04864825456988849,11.0,4.0012261948937455,0.040456076905511784,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,Eliminated Week 3,Eliminated,3.0,5.0,1,1,-0.8421052631578947,7.255746551724138,6.0,18.0,3,5.379310344827586,0.0,6.0,6,0.3611111111111111,0,0,0,0,1,0,0,1,0,0.04864825456988849,11.0,4.0012261948937455,0.040456076905511784,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,Eliminated Week 3,Eliminated,3.0,5.0,1,1,-0.8421052631578947,7.255746551724138,6.0,18.0,3,5.379310344827586,0.0,6.0,6,0.3611111111111111,0,0,0,0,1,0,0,1,0,0.04864825456988849,11.0,4.0012261948937455,0.040456076905511784,True
Rachel Hunter,Jonathan Roberts,Model,Nan,New Zealand,35,1,4,Eliminated Week 4,Eliminated,4.0,7.0,1,1,0.0,7.422617857142858,6.666666666666667,20.0,3,6.25,0.0,6.666666666666667,6,0.7777777777777778,1,0,0,0,0,0,1,0,0,0.07758425079098528,5.0,4.0012261948937455,0.040456076905511784,True
